t_detected,pair,price,interval,pct_over,vol_ratio,usd_per_min,rsi,vpm_avg_usd,macd_hist,source
2025-08-31T07:40:01Z,SAPIEN-USD,0.15420000,60s,0.916,5.564,6792.31,68.7,1206.38,0.000141,resonance_scanner_v13.3_ws
2025-08-31T08:20:18Z,DIMO-USD,0.07842000,60s,1.937,5.873,10289.24,69.0,1703.15,0.000329,resonance_scanner_v13.3_ws
2025-08-31T08:52:04Z,LOKA-USD,0.17900000,60s,2.992,1.917,5713.67,63.5,2870.48,0.000931,resonance_scanner_v13.3_ws
2025-08-31T09:39:00Z,LRC-USD,0.09920000,60s,0.813,2.281,8637.79,64.9,3746.99,0.000275,resonance_scanner_v13.3_ws
2025-08-31T10:40:00Z,SAPIEN-USD,0.14570000,60s,0.830,1.879,10690.01,52.1,5625.95,0.000133,resonance_scanner_v13.3_ws
2025-08-31T10:54:00Z,NCT-USD,0.02073000,60s,1.468,8.667,12751.00,,1448.27,,resonance_scanner_v13.3_ws
2025-08-31T12:16:00Z,POL-USD,0.29010000,60s,0.939,13.332,162773.71,69.7,12052.64,0.000333,resonance_scanner_v13.3_ws
2025-08-31T12:43:08Z,LOKA-USD,0.18800000,60s,1.952,15.541,20456.88,61.5,1287.58,0.000491,resonance_scanner_v13.3_ws
2025-08-31T13:02:03Z,SAPIEN-USD,0.14830000,60s,0.953,3.852,8824.50,64.1,2266.88,0.000275,resonance_scanner_v13.3_ws
2025-08-31T13:33:04Z,POLS-USD,0.23380000,60s,2.007,5.172,16723.41,69.4,3152.31,0.000581,resonance_scanner_v13.3_ws
2025-08-31T13:36:30Z,ELA-USD,1.46100000,60s,2.526,3.317,5581.59,69.8,1616.02,,resonance_scanner_v13.3_ws
2025-08-31T13:53:00Z,RLC-USD,1.27230000,60s,1.330,7.475,27387.28,52.3,3607.10,0.000876,resonance_scanner_v13.3_ws
2025-08-31T13:56:00Z,IP-USD,7.76300000,60s,1.384,6.253,9330.27,68.7,1468.15,0.002780,resonance_scanner_v13.3_ws
2025-08-31T15:26:01Z,LOKA-USD,0.19630000,60s,0.822,1.827,3059.69,57.2,1641.72,0.000536,resonance_scanner_v13.3_ws
2025-08-31T15:30:17Z,PIRATE-USD,0.03690000,60s,1.096,3.624,5872.15,50.1,1586.71,0.000016,resonance_scanner_v13.3_ws
2025-08-31T15:32:00Z,LRC-USD,0.11600000,60s,2.746,7.732,93526.99,69.3,11735.69,0.000160,resonance_scanner_v13.3_ws
2025-08-31T15:36:07Z,SKL-USD,0.03300000,60s,0.917,6.307,31787.62,65.5,4975.24,0.000004,resonance_scanner_v13.3_ws
2025-08-31T15:41:01Z,SAPIEN-USD,0.14630000,60s,0.827,1.808,3855.69,60.0,2113.87,0.000107,resonance_scanner_v13.3_ws